Link,Market Cap (Rs Cr.),P/E,Book Value (Rs),Dividend (%),Market Lot,Industry P/E,EPS (TTM),P/C,Price/Book,Dividend Yield.(%),Face Value (RS),Deliverables (%)
https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,"20,603.81",67.33,1650.70,0.00,1,30.53,268.93,59.15,11.08,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
59.33


5-Day
57.89


8-Day
59.29





61.30
"
https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17,"7,711.82",31.58,234.56,0.00,1,17.24,31.09,30.36,4.20,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
67.81


5-Day
89.28


8-Day
87.29





66.81
"
https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9,"10,270.64",-,34.11,0.00,1,23.11,-,-,1.25,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
49.98


5-Day
49.73


8-Day
46.68





47.74
"
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,"38,446.15",64.56,945.25,650.00,1,35.58,280.08,62.78,19.14,0.36,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
45.40


5-Day
37.39


8-Day
40.16





49.03
"
https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06,"21,901.63",16.36,613.52,140.00,1,28.54,71.38,11.28,1.90,1.20,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
10.37


5-Day
22.05


8-Day
24.97





11.41
"
https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,"15,397.34",22.03,34.20,100.00,1,21.37,6.35,18.78,4.09,0.71,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
29.06


5-Day
20.23


8-Day
21.11





31.90
"
https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS,"59,327.15",30.62,97.77,160.00,1,36.74,9.52,23.82,2.99,1.10,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
15.24


5-Day
19.70


8-Day
26.40





15.18
"
https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11,"11,590.10",-,40.94,0.00,1,8.63,-,-,0.73,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
28.02


5-Day
23.50


8-Day
22.41





29.34
"
https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22,"21,116.35",3865,43.74,0.00,1,10.56,0.05,3865,4.39,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
52.66


5-Day
60.64


8-Day
65.13





45.15
"
https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,"8,087.76",40.78,18.47,0.00,1,42.00,2.55,16.77,5.66,-,10.00,"
 

DELIVERY AVERAGES (%)



3-Day
25.09


5-Day
28.65


8-Day
45.54





34.66
"
https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET,"1,569.08",30.67,28.29,30.00,1,16.18,4.58,26.3,4.97,0.43,2.00,"
 

DELIVERY AVERAGES (%)



3-Day
66.79


5-Day
64.32


8-Day
61.85





63.49
"
https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9,"5,769.24",2431.43,23.87,140.00,1,18.71,0.07,210.12,7.12,0.82,1.00,"
 

DELIVERY AVERAGES (%)



3-Day
55.00


5-Day
60.62


8-Day
62.38





59.49
"
